aa-lsm-hook                                   - AppArmor system integration
jbig2dec                                      - A decoder implementation of the JBIG2 image compression format
jemalloc                                      - jemalloc is a general purpose malloc(3) implementation that emphasizes fragmentation avoidance and scalable concurrency support.
jq                                            - jq is a lightweight and flexible command-line JSON processor
json-c                                        - JSON implementation in C
jxrlib                                        - Open source implementation of jpegxr
karchive                                      - Reading, creating, and manipulating file archives.
kauth                                         - Execute actions as privileged user.
kbd                                           - Linux keyboard tools
kbookmarks                                    - Bookmarks management library.
kcalendarcore                                 - Provides access to and handling of calendar data
kcodecs                                       - String encoding library.
kcompletion                                   - Powerful completion framework, including completion-enabled lineedit and combobox.
kconfig                                       - Persistent platform-independent application settings.
kconfigwidgets                                - Widgets for configuration dialogs
kcoreaddons                                   - Qt addon library with a collection of non-GUI utilities.
kcrash                                        - Graceful handling of application crashes.
kdbusaddons                                   - Convenience classes for DBus.
kdecoration                                   - Plugin based library to create window decorations
kded                                          - Central daemon of KDE work spaces
kdoctools                                     - Create documentation from DocBook.
kerberos                                      - Kerberos 5 network authentication protocol
kernel-glue                                   - Kernel integration for Solus
keybinder                                     - Keybinder for GTK-based applications
keyutils                                      - In-kernel key management utilities
kf6-attica                                    - Open Collaboration Service client library.
kf6-frameworkintegration                      - Integration of Qt application with KDE workspaces
kf6-karchive                                  - Reading, creating, and manipulating file archives.
kf6-kauth                                     - Execute actions as privileged user.
kf6-kbookmarks                                - Bookmarks management library.
kf6-kcmutils                                  - Utilities for interacting with KCModules
kf6-kcodecs                                   - String encoding library.
kf6-kcolorscheme                              - Classes to read and interact with KColorScheme
kf6-kcompletion                               - Powerful completion framework, including completion-enabled lineedit and combobox.
kf6-kconfig                                   - Persistent platform-independent application settings.
kf6-kconfigwidgets                            - Widgets for configuration dialogs
kf6-kcoreaddons                               - Qt addon library with a collection of non-GUI utilities.
kf6-kcrash                                    - Graceful handling of application crashes.
kf6-kdbusaddons                               - Convenience classes for DBus.
kf6-kded                                      - Central daemon of KDE work spaces
kf6-kdoctools                                 - Create documentation from DocBook.
kf6-kglobalaccel                              - Global desktop keyboard shortcuts
kf6-kguiaddons                                - Utilities for graphical user interfaces.
kf6-ki18n                                     - KDE Gettext-based UI text internationalization.
kf6-kiconthemes                               - Icon GUI utilities.
kf6-kio                                       - Network transparent access to files and data.
kf6-kirigami                                  - QtQuick components for mobile and desktop UI development.
kf6-kitemviews                                - Set of item views extending the Qt model-view framework.
kf6-kjobwidgets                               - Widgets for showing progress of asynchronous jobs.
kf6-knewstuff                                 - Framework for downloading and sharing additional application data.
kf6-knotifications                            - Desktop notifications.
kf6-kpackage                                  - Installation and loading of additional content as packages
kf6-kservice                                  - Plugin framework for desktop services.
kf6-ktextwidgets                              - Text editing widgets.
kf6-kwallet                                   - Safe desktop-wide storage for passwords
kf6-kwidgetsaddons                            - Large set of desktop widgets.
kf6-kwindowsystem                             - Access to the windowing system.
kf6-kxmlgui                                   - Framework for managing menu and toolbar actions.
kf6-solid                                     - Desktop hardware abstraction.
kf6-sonnet                                    - Multi-language spell checker
kf6-syndication                               - An RSS/Atom parser library
kfilemetadata                                 - Simple library for extracting the text and metadata
kglobalaccel                                  - Global desktop keyboard shortcuts
kguiaddons                                    - Utilities for graphical user interfaces.
ki18n                                         - KDE Gettext-based UI text internationalization.
kiconthemes                                   - Icon GUI utilities.
kio                                           - Network transparent access to files and data.
kirigami2                                     - QtQuick components for mobile and desktop UI development.
kitemviews                                    - Set of item views extending the Qt model-view framework.
kitty                                         - A fast and featureful GPU-based terminal emulator
kjobwidgets                                   - Widgets for showing progress of asynchronous jobs.
kmod                                          - Linux kernel module management utilities
knewstuff                                     - Framework for downloading and sharing additional application data.
knotifications                                - Desktop notifications.
knotifyconfig                                 - Configuration dialog for desktop notifications.
kpackage                                      - Installation and loading of additional content as packages
kpipewire                                     - Components relating to pipewire use in Plasma
krita                                         - Free and open source digital painting application
ksanecore                                     - Library providing logic to interface scanners
kseexpr                                       - An embeddable expression evaluation engine
kservice                                      - Plugin framework for desktop services.
ktextwidgets                                  - Text editing widgets.
kwallet                                       - Safe desktop-wide storage for passwords
kwidgetsaddons                                - Large set of desktop widgets.
kwindowsystem                                 - Access to the windowing system.
kxmlgui                                       - Framework for managing menu and toolbar actions.
ladspa                                        - Linux Audio Developer's Simple Plugin API
lame                                          - High quality MPEG Audio Layer III (MP3) encoder.
lame-devel                                    - Development files for lame
lapack                                        - Basic Linear Algebra Subprograms
lash                                          - Session management system for GNU/Linux audio applications
ldb                                           - ldb is a LDAP-like embedded database
ldns                                          - ldns library for DNS programming
lensfun                                       - Library to correct optical lens defects and lens database
less                                          - less (file pager)
lib2geom                                      - Easy to use 2D geometry library in C++
liba52dec                                     - Library for decoding ATSC A/52 (also known as AC-3) streams
libabw                                        - Library for parsing abiword documents
libadwaita                                    - Building blocks for modern adaptive GNOME applications.
libaio                                        - Linux kernel AIO access library
libao                                         - Libao is a cross-platform audio library that allows programs to output audio
libarchive                                    - Library for reading and writing streaming archives
libass                                        - Portable subtitle renderer
libass-devel                                  - Development files for libass
libassuan                                     - IPC library used by some GnuPG related software
libatasmart                                   - Disk reporting library
libavc1394                                    - Programming interface to the AV/C specification from the 1394 Trade Assocation.
libavif                                       - Library for encoding and decoding .avif files
libayatana-appindicator                       - Application Indicator Library. Spiritual successor of libappindicator
libayatana-ido                                - Custom GTK menu widgets for Ayatana System Indicators
libayatana-indicator                          - Common components of the libayatana project
libb2                                         - BLAKE2 library implementation
libblockdev                                   - A library for manipulating block devices
libbluray                                     - Library for Blu-Ray disc playback
libboost                                      - Useful C++ source libraries
libbpf                                        - Library for loading eBPF programs
libbs2b                                       - Bauer stereophonic-to-binaural DSP effect library
libbytesize                                   - A tiny library providing a C "class" for working with arbitrary big sizes in bytes
libcaca                                       - libcaca is a graphics library
libcacard                                     - library providing emulation of smart cards
libcairo                                      - cairo (2D graphics library)
libcairo-devel                                - Development files for libcairo
libcanberra                                   - XDG Sound Theme and Name implementation
libcap-ng                                     - Libcap-ng is a library that makes using posix capabilities easier
libcap2                                       - User-space interfaces to the POSIX 1003.1e capabilities available in Linux kernels
libcap2-devel                                 - Development files for libcap2
libcbor                                       - CBOR protocol implementation for C
libcddb                                       - A library for accessing a CDDB server
libcdio                                       - A library to encapsulate CD-ROM reading and control
libcdio-paranoia                              - CD paranoia libraries from libcdi
libcdr                                        - library and tools for reading and converting Corel DRAW files
libcloudproviders                             - libcloudproviders is a DBus API that allows cloud storage sync clients to expose their services.
libcmis                                       - C/C++ client library for the CMIS protocol
libcolord-gtk                                 - GTK+ convenience library for interacting with colord
libcue                                        - Cue sheet parser library
libcupsfilters                                - OpenPrinting CUPS Filters
libdaemon                                     - The libdaemon package is a lightweight C library that eases the writing of UNIX daemons.
libdbi                                        - libdbi implements a database-independent abstraction layer in C, similar to the DBI/DBD layer in Perl
libdbusmenu                                   - D-BUS Menu Library
libdbusmenu-qt                                - Provides a Qt implementation of the DBusMenu protocol
libdc1394                                     - Capture and control API for IIDC compliant cameras
libde265                                      - An open h.265 video codec implementation
libdecor                                      - Client-side decorations library for Wayland clients
libdisplay-info                               - EDID and DisplayID library.
libdovi                                       - Library to read & write Dolby Vision metadata
libdrm                                        - Direct Rendering Manager API + Library
